season	club	squad	average age	foreigners	average market value in euro	total market value in euro
2015	Bayer Leverkusen	33	23.2	21	6080000	200750000
2015	Borussia Monchengladbach	29	24.4	17	4810000	139550000
2015	TSG Hoffenheim	30	23.9	16	3660000	109900000
2015	Eintracht Frankfurt	35	23.9	21	2500000	87500000
2015	VfB Stuttgart	34	23.8	18	2430000	82600000
2015	Hamburg SV	35	24.8	18	2120000	74080000
2015	Hannover 96	39	23.5	21	1890000	73580000
2015	Hertha Berlin	34	24.3	15	2150000	73100000
2015	Mainz	39	24.3	22	1730000	67550000
2015	FC Augsburg	39	24.9	21	1600000	62530000
2015	Werder Bremen	39	23.6	18	1530000	59500000
2015	FC Cologne	25	24	12	2080000	52050000
2015	FC Ingolstadt 04	29	24.2	16	841000	24380000
2015	SV Darmstadt 98	30	26.3	8	660000	19800000
