name	train_loss	train_acc	test_loss	test_acc 
Adadelta_KLD	23.083152770996094	0.3790157735347748	23.734073638916016	0.3997028172016144
Adadelta_MAE	0.9510369300842285	0.3790157735347748	0.9784547090530396	0.3997028172016144
Adadelta_MAPE	94645688.0	0.2581244111061096	87914856.0	0.24665676057338715
Adadelta_MSE	1.456391453742981	0.28449395298957825	1.5113914012908936	0.26523029804229736
Adadelta_MSLE	0.4791683554649353	0.3790157735347748	0.4935553967952728	0.3997028172016144
Adadelta_categorical_hinge	0.5678737163543701	0.3091922104358673	0.5274888277053833	0.3008915185928345
Adadelta_hinge	0.7613121867179871	0.3790157735347748	0.7545815110206604	0.3997028172016144
Adadelta_huber	0.60185706615448	0.3058495819568634	0.6224616169929504	0.28603267669677734
Adadelta_kl_divergence	23.083147048950195	0.33704736828804016	23.734073638916016	0.3365527391433716
Adadelta_kld	23.083147048950195	0.33704736828804016	23.734073638916016	0.3365527391433716
Adadelta_kullback_leibler_divergence	23.083147048950195	0.4282265603542328	23.734073638916016	0.44130757451057434
Adadelta_log_cosh	0.5281266570091248	0.429712176322937	0.5463284254074097	0.4457652270793915
Adadelta_mae	0.9510366916656494	0.28393685817718506	0.9784547090530396	0.26374441385269165
Adadelta_mape	94645664.0	0.33704736828804016	87914856.0	0.3365527391433716
Adadelta_mean_absolute_error	0.9510366916656494	0.3790157735347748	0.9784547090530396	0.3997028172016144
Adadelta_mean_absolute_percentage_error	94645664.0	0.34076136350631714	87914856.0	0.3580980598926544
Adadelta_mean_squared_error	1.456391453742981	0.28393685817718506	1.5113914012908936	0.26374441385269165
Adadelta_mean_squared_logarithmic_error	0.47916826605796814	0.2843082547187805	0.4935553967952728	0.2934620976448059
Adadelta_mse	1.4563910961151123	0.33704736828804016	1.5113914012908936	0.3365527391433716
Adadelta_msle	0.47916847467422485	0.3790157735347748	0.4935553967952728	0.3997028172016144
Adadelta_poisson	12.100393295288086	0.31847724318504333	12.539657592773438	0.3120356500148773
Adadelta_sparse_categorical_crossentropy	2823823.75	0.3634169101715088	2720301.0	0.34026744961738586
Adadelta_squared_hinge	0.7613123655319214	0.2516248822212219	0.7545815110206604	0.22659732401371002
Adagrad_KLD	23.083158493041992	0.2750232219696045	23.734073638916016	0.28751856088638306
Adagrad_MAE	0.9510368704795837	0.4150417745113373	0.9784547090530396	0.4286775588989258
Adagrad_MAPE	94645672.0	0.3790157735347748	87914856.0	0.3997028172016144
Adagrad_MSE	1.4563912153244019	0.3849582076072693	1.5113914012908936	0.40564635396003723
Adagrad_MSLE	0.47916853427886963	0.2631383538246155	0.4935553967952728	0.24962852895259857
Adagrad_categorical_hinge	0.5678737163543701	0.28393685817718506	0.5274888277053833	0.26374441385269165
Adagrad_hinge	0.7613123655319214	0.3790157735347748	0.7545815110206604	0.3997028172016144
Adagrad_huber	0.6018568873405457	0.341132789850235	0.6224616169929504	0.3075779974460602
Adagrad_kl_divergence	23.083154678344727	0.3138347268104553	23.734073638916016	0.3090638816356659
Adagrad_kld	23.083152770996094	0.28393685817718506	23.734073638916016	0.26374441385269165
Adagrad_kullback_leibler_divergence	23.083158493041992	0.28393685817718506	23.734073638916016	0.26374441385269165
Adagrad_log_cosh	0.5281264781951904	0.3790157735347748	0.5463284254074097	0.3997028172016144
Adagrad_mae	0.9510367512702942	0.33704736828804016	0.9784547090530396	0.3365527391433716
Adagrad_mape	94645664.0	0.3790157735347748	87914856.0	0.3997028172016144
Adagrad_mean_absolute_error	0.9510369300842285	0.3790157735347748	0.9784547090530396	0.3997028172016144
Adagrad_mean_absolute_percentage_error	94645672.0	0.28133705258369446	87914856.0	0.29123327136039734
Adagrad_mean_squared_error	1.4563912153244019	0.3777158856391907	1.5113914012908936	0.35958394408226013
Adagrad_mean_squared_logarithmic_error	0.4791686236858368	0.3541318476200104	0.4935553967952728	0.36404159665107727
Adagrad_mse	1.4563915729522705	0.33704736828804016	1.5113914012908936	0.3365527391433716
Adagrad_msle	0.47916853427886963	0.291922003030777	0.4935553967952728	0.2726597189903259
Adagrad_poisson	12.100393295288086	0.28393685817718506	12.539657592773438	0.26374441385269165
Adagrad_sparse_categorical_crossentropy	39004.9296875	0.4072423279285431	35432.0703125	0.41530460119247437
Adagrad_squared_hinge	0.7613124251365662	0.261838436126709	0.7545815110206604	0.2592867612838745
Adam_KLD	23.083152770996094	0.3790157735347748	23.734073638916016	0.3997028172016144
Adam_MAE	0.9510371088981628	0.311049222946167	0.9784547090530396	0.30460622906684875
Adam_MAPE	94645696.0	0.2521819770336151	87914856.0	0.24739970266819
Adam_MSE	1.4563912153244019	0.2384401112794876	1.5113914012908936	0.21396730840206146
Adam_MSLE	0.47916853427886963	0.27595171332359314	0.4935553967952728	0.26523029804229736
Adam_categorical_hinge	0.5678737163543701	0.34224697947502136	0.5274888277053833	0.334323912858963
Adam_hinge	0.7613123655319214	0.36768803000450134	0.7545815110206604	0.3855869174003601
Adam_huber	0.6018569469451904	0.33704736828804016	0.6224616169929504	0.3365527391433716
Adam_kl_divergence	23.083152770996094	0.28393685817718506	23.734073638916016	0.26374441385269165
Adam_kld	23.083152770996094	0.28393685817718506	23.734073638916016	0.26374441385269165
Adam_kullback_leibler_divergence	23.083152770996094	0.28393685817718506	23.734073638916016	0.26374441385269165
Adam_log_cosh	0.5281265377998352	0.28393685817718506	0.5463284254074097	0.26374441385269165
Adam_mae	0.9510367512702942	0.2882079780101776	0.9784547090530396	0.2667161822319031
Adam_mape	94645664.0	0.28393685817718506	87914856.0	0.26374441385269165
